source,text
1,@flicka__: @realDonaldTrump for president
1,The Mar-a-Lago Club was amazing tonight. Everybody was there the biggest and the hottest. Palm Beach is so lucky to have best club in world
1,@archangeljf12:  ;@realDonaldTrump for President of the United States! @SenTedCruz Vice President ;A #WinningTicket2016 #TrumpCruz2016
1,@TalentlessCook: @realDonaldTrump You're only a year away from #2016 ...pick a running mate. Happy New Year
1,@yankeejayman: @realDonaldTrump @flicka__ Do u ever sleep?  Not much!
1,@JoshHammer77: @realDonaldTrump happy new year sir can't wait for #CelebrityApprentice
1,@SparkleAWin: @realDonaldTrump So excited for a New Year &amp; new Celeb Apprentice! Can't wait to see The Trumps back in The Boardroom!
1,@Danwolff22: @realDonaldTrump I believe in you to bring this country back to what it once was! MR. Trump for president! Thanks Dan!
1,@tlowery19: @realDonaldTrump for president please! _Ÿ˜©
1,@jmcafee23: @realDonaldTrump please run for president this country needs you!
1,"@archangeljf12: @realDonaldTrump Palm Beach is one of the greatest places in the World to Live!  #TrumpPOTUS2016 #HappyNewYearTwitter for Android,@SaraPattersonn: @realDonaldTrump hey be president"""
1,@ericleebow: @realDonaldTrump Hope you finally run for President. That should be your new year's resolution. Good thought!
1,@Felix_Whiskas: If you're interested in 'balancing' work and pleasure stop! Instead make your work more pleasurable - @realDonaldTrump
1,@samanthajrose: @realDonaldTrump #Trumpfan #TrumpForPresident
1,@iintend: DonaldTrump At one time you were 900 million in debt and you came back. You never flinched. You have to respect that.  Thank you
1,"@MarkFleming22: â€œIf you're interested in 'balancing' work and pleasure stop! Instead make your work more pleasurable - @realDonaldTrumpâ€ù"""
1,@seankesser: @LoreleiJP @realDonaldTrump @VeryOddDog Trump himself never ever filed for bankruptcy So true thank you!
1,@AlphaQuintesson: @realDonaldTrump please run for president you got my vote _Ÿ’__Ÿç‘
1,@KdanielsK: @misstcassidy @AllAboutTheTea_ I definitely think Kenya is smarter than Brandi but Kenya doesn't play well w/ others.
1,"@sean:  IcahnKravisBuffet &amp; many other top business men've taken advantage of corporate bankruptcy lawyet people only point out Trump.Twitter for Android,@diannelea1958: @ApprenticeNBC @realDonaldTrump @ChannelGuide So excited for this season."" It may be one of the best and most vicious ever."
1,@dungyots: .@realDonaldTrump with a solid cameo in #HomeAlone2 http://t.co/UV1XwDd7wF Thanks it was great fun-who knew it would be so big
1,@Madrina26: @realDonaldTrump So excited for Sunday and Celebrity Apprentice!!! You will love it WILD!
1,@KdanielsK: @misstcassidy @AllAboutTheTea_ @realDonaldTrump My money is on Kenya getting fired first.
1,@UniqueCaptures: DonaldTrump: Even though I feel his personality is to strong for President I agree it would be an entertaining campaign
1,@Photocritic: Oh please please please let @realDonaldTrump run for president. That would make my year.
1,@misstcassidy: @KdanielsK @realDonaldTrump @AllAboutTheTea_ I just hope both last well half way into season w/lots of drama!
1,"@FrisbieKaren: @realDonaldTrump #CelebrityApprentice my secret addiction! Now only if you would do a regular"" people edition."
1,@PianoBecca: @realDonaldTrumpÂ DONALD TRUMP FOR PRESEDENT OVER ALL OF AMERCIA!!!!!!!!
1,@JoshHadleySays: @realDonaldTrump @dungyots Yes a sequel to one of the biggest hits of 1990s who knew.
1,@KdanielsK: @misstcassidy @realDonaldTrump @AllAboutTheTea_ This season is going to be great! Can't wait!
1,@_Snurk: @realDonaldTrumpÂ is SO AWESOME!! Man of nat'l unmatched merit every1 needs TRUMP! A+ leader can rule- ELECT EXCELENT PREZ!!
1,@TellyPlanet: @realDonaldTrump can't wait for series4 to air on BBC One Sunday night :)
1,@trillacamila: we need @realDonaldTrump for president
1,@diannelea1958: @realDonaldTrump @ApprenticeNBC @ChannelGuide I love the cast this season.
1,@StevenCena35: @realDonaldTrump look awesome in Home Alone 2 lost New York you look great in the movie today in @ABCFamily
1,"@RustyHook2: @realDonaldTrump @trillacamila You would be a damn sight better than Jeb ! or Billary"" !"""
1,@brian_muldoon: @realDonaldTrump Headed to Trump Central Park for my wife's birthday!! Can't wait!!  Have fun!
1,@The_Edward_K: @realDonaldTrump Your a Genius sir #TrumpForPresident
1,@MorrisFrance: Excited for the Miss Universe! Hi @realDonaldTrump _Ÿ‘‹_Ÿ‘‹
1,@diannelea1958: @MFonnest @realDonaldTrump @ApprenticeNBC @ChannelGuide Hell yes! It's gonna be fun.
1,@FREDOSANTANASS: @realDonaldTrump is a great leader and definitely someone I look up to. Great role model Thanks.
1,@bbolaji9: Happy new year my president @realdonaldtrump Thank you.
1,@midniteracers: @realDonaldTrump Gets my vote for President. He's my hero! When I grow up I want to be like him.
1,"@nick_nlawrie: @realDonaldTrump if you're as strident in life as you are with these tweets then no wonder you're loaded.Twitter for Android,@ArrestJOEPA: @realDonaldTrump and @terrellowens sounds like a dream team"""
1,@RunningDeep67: @UniqueCaptures Too strong? Point out a time in America's history where it was good to have a PUSSY in the White House!
1,"@Bettylovesdogs: @realDonaldTrump I work Sunday evenings will celebrity apprentice be replayed? Watch tomorrow night at 9:00 then Mon. at 8Twitter for Android,@seankesser: @realDonaldTrump: Trump University was exceptionally highly rated. Get the facts straight!"""
1,"I just saw the movie ""Unbroken"" -- very good except I thought the ending was weak no retribution! And we complain about waterboarding."
1,@ArrestJOEPA: @realDonaldTrump trump kicked Rosie's ass he kicked penn states ass he would totally kick the democrats ass!!! #trump2016
1,@VeryOddDog: @realDonaldTrump You are a good Christian! You are right! Also you should be Presedent! The sooner the better! #TRUMP
1,@ChrisRosica: @realDonaldTrump genius Tweet.
1,@HarveyRabitto: @realDonaldTrump Louis Z never ever quit. Neither does Donald T.
1,@JayRav3: @realDonaldTrump What is the best book for real estate? I want to get into the business. TRUMP THE ART OF THE DEAL!
1,@aanders07: @realDonaldTrump I am actually excited for the weekend to be over so I can watch The Celebrity Apprentice! Can't wait! Enjoy!
1,I will be commenting LIVE on Sunday night (9 to 11) on TWITTER - Celebrity Apprentice will be great this season - amazing cast!
1,@LmechX: @realDonaldTrump The Art of the Deal is a great read filled with excellent real advice. Definitely worth a read.
1,@LikABrdThatFlew: My only New Year's resolution: Be more like @realDonaldTrump Nice thanks!
1,@rexhispaniae: @realDonaldTrump will be watching with my entire family. We are so happy you're back on TV Mr Trump! Huge fans here!
1,@puppyslug: @realDonaldTrump Will you run? Will you run for President? Mr Trump your Nation needs you! #saveoursouls Stay tuned thanks!
1,@TrudyUnis: @realDonaldTrump @puppyslug our country need something. Never seen so much division as the last  years.
1,"@TheShowOff85: Too excited to seeing my two favourite people on TV together on one show that's @realDonaldTrump and @KenyaMoore.Twitter for Android,@LeezaGibbons: â€œ@emilyplacido: @LeezaGibbons @IvankaTrump  I'm so rooting for you on Celebrity Apprentice @LeezaGibbons!! Go girl!TYSM"""
1,"@LeezaGibbons: â€œ@KellyMcKayShow: @LeezaGibbons @IvankaTrump @realDonaldTrump already set the DVR for Sunday and Monday. #TVgeekâ€ùTwitter for Android,@wouldnotmind: @ApprenticeNBC @ivankatrump @realDonaldTrump : I know and we are ready .. who is going to win ? My GIRL @KenyaMoore"
1,@The_Paul08: It's almost here finally!!!! The new Celebrity #Apprentice premiers tomorrow on @nbc! @realDonaldTrump #excited
1,@BernieSandner: @realDonaldTrump @ApprenticeNBC I'm ready for the show tomorrow night.
1,"@llluminatedOnes: Watch #CelebApprentice tomorrow at 9pm ET on @NBC because @RealDonaldTrump said so! @ApprenticeNBC http://t.co/pm0b8cMJfnTwitter for Android,@joeferrarijoe: @realDonaldTrump @ApprenticeNBC it's about time!!!!"""
1,@fenway315: @realDonaldTrump @ApprenticeNBC @RealGilbert Is the fucking man !
1,@Jerry_Zhang_: Looking forward to season 14 of @ApprenticeNBC! @realDonaldTrump
1,@Foreign_Blood: @realDonaldTrump Needs to run for president
1,@yurdreamwoman: @ApprenticeNBC @realDonaldTrump would be great to have Obama on his show so the Don can fire his arsss
1,@kekepania822: @realDonaldTrump @ApprenticeNBC I'm excited for this season can't wait to watch _Ÿ‘ç
1,@rona65: @ApprenticeNBC @realDonaldTrump @nbc good luck on your umpteenth season from the show Producer of show 1
1,@Molly_Stew: @realDonaldTrump adding Housewives to your show calls for entertaining tv _Ÿ˜_ #CelebrityApprentice
1,"@organics2014: @ApprenticeNBC @realDonaldTrump will @Kateplusmy8 be too?  Yes.Twitter for Android,@DenisePlante: â€œ  By popular demand I will be tweeting tomorrow's premiere of .@ApprenticeNBC on .@nbc 9/8c http:// http://t.co/MiVcT6zjEkâ€ù"
1,@MyCrashIs: @realDonaldTrump @ApprenticeNBC please let it be @BrandiGlanville and @KenyaMoore first. But u probably like that negativity
1,@barbarabee2u: @realDonaldTrump @ApprenticeNBC Can;t wait!
1,@MIclimber: @realDonaldTrump look at alum @THEGaryBusey making you proud with @AmazonFireTV #CelebApprentice Great.
1,@LeaDiLiberto: @BrandiGlanville @ApprenticeNBC @realDonaldTrump You in danger girl!
1,@Cherylynn6464: @realDonaldTrump @ApprenticeNBC Looking forward to your show and especially seeing Joan Rivers. She did a great job!
1,@SisterTrue: @realDonaldTrump can't wait love this show helps me realize so many things!
1,@dpal1996: @realDonaldTrump @ApprenticeNBC cannot wait!!!
1,"@RustyHook2:  @ApprenticeNBC I just watched the tease"" on you tube. TerrellJohnny and Kate won't be there for long. We will see..."""
1,@patjeanes: @realDonaldTrump Im sure the show will be great but you need to get on the campaign trail Watch!
1,@ShellsterNYC: @realDonaldTrump @ApprenticeNBC How many times does TO cry?
1,@PamKing8628: @realDonaldTrump @mikerandcom - #TeamLeeza will be following ur #CelebApprentice comments! @LeezaGibbons
1,@PamKing8628: @mikerandcom @realDonaldTrump @LeezaGibbons @IanZiering #TeamLeeza to the finish line!!
1,@MY_2BCOLLIES: @MiloandJack  Actually Milo Mr Trump felt Kate has a good shot at winning. DonaldTrump was very complimentary about Kate.
1,@___LisaMichelle: So excited. You got this Brandi! @BrandiGlanville @ApprenticeNBC @realDonaldTrump
1,@wristbridge: Just set my DVR for The Apprentice. Let's go @realDonaldTrump
1,@MattLytle: @realDonaldTrump So a new Celebrity Apprentice Sunday and Monday night?  YES.
1,@hobbyath: @realDonaldTrump @ApprenticeNBC Brandi G. #getoffmyTV goes first hopefully
1,@RosaleeAdams: @realDonaldTrump @ApprenticeNBC I thought it would never start again...
1,@shihtzupad: @realDonaldTrump @ApprenticeNBC I LOVE THIS SHOW_Ÿ‘çâù_ï¸èâ€_ï¸è
1,"@JSKibler: @MrDrewScott @MrSilverScott we need to get you all on the @celebapprentice with the @realDonaldTrump. #unstoppable #makeithappenTwitter for Android,@tbc_branding: To my biz-minded tweeps from #SharkTankNation #Restaurantstartup #theprofit...I'll see you 2nite for #CelebrityApprentice"
1,@DavidThomasNo1: Tune in for some late night viewing of @realDonaldTrump on celebrity apprentice USA @BBCOne tonight
1,"@emilyplacido: @realDonaldTrump @BernieSandner @ApprenticeNBC Me too!!!! #TeamLeeza all the way!!! @LeezasCareCafe is a wonderful charity!!Twitter for Android,@DavidBodner: So excited for #thecelebrityapprentice cant wait to see what @realDonaldTrump @IvankaTrump have in store for us this season!"""
1,@JanzenErika: @BillRancic  @ApprenticeNBC Thank you for reminding me watch/ set my pvr for The Apprentice tonight! Thank you Bill.
1,@JillyBaDilly: @realDonaldTrump I've been waiting for this day for way too long! #CelebApprentice starts tonight! Can't wait! _Ÿ_‰ Enjoy!
1,@mariadomenique9: @ApprenticeNBC @TODAYshow @realDonaldTrump @RealGilbert @GeraldoRivera cant wait to watch tonight!!!
1,"@ChrisJPMac: Really looking forward to the Premier of The Apprentice tonight at 9PM EST on NBC.Such a well executed and captivating show.Twitter for Android,@Heidilucky:  Hello Mr. Trump. I LOVE @TheApprentice9 and can NOT wait till it airs. @ABCSharkTank and @TheProfitCNBC ; 2 other faves!"""
1,@cinna33: @MrSilverScott @CelebApprentice @realDonaldTrump @JSKibler Yeah! Bring on/down the gauntlet
1,@NicoleAMarin: I can't wait to watch this season of #CelebrityApprentice  @DonaldJTrumpJr I can't wait to watch @BrandiGlanville dominate!
1,@KellyJeanturner: @realDonaldTrump @Kateplusmy8 #ticktock 12 hours &amp; counting down to watch #ApprenticeNBC
1,@PamelaDunfee: @BillRancic @realDonaldTrump @ApprenticeNBC I can't wait to watch The New APPRENTICE NBC @ 9:00 pm tonight.
1,Everyone is asking me to cover The Apprentice LIVE on twitter. I will do so. Tonight 9 to 11. IT WILL BE A GREAT EVENING OF TELEVISION!
1,This is going to be a special season - truly great characters and cast. You will soon see!
1,@MLRatchford: @ApprenticeNBC @realDonaldTrump rooting for @RealGilbert. #TeamGilbert
1,@fabiolasellsnj: @DonaldJTrumpJr @realDonaldTrump @ApprenticeNBC looking forward to this
1,@Flowerchic462: Ok Tweeps. Who is going home first tonight?! #CelebApprentice @ApprenticeNBC @realDonaldTrump @DonaldJTrumpJr @IvankaTrump
1,@SkaCreek: In Ten minutes on @realDonaldTrump 's Apprentice @IanZiering begins his season long domination! @Jason_Priestley you watchin?
1,It's still exciting after all these years - and this cast is special!
1,@llluminatedOnes: Here we go! @ApprenticeNBC starts NOW on @NBC! Let's do this! @RealDonaldTrump @IvankaTrump  #CelebApprentice
1,"@princessrisssss: I am SOO super excited to watch @ShawnJohnson and DonaldTrump on tonight!! Two of my favorite people ever. SHE IS GREAT.Twitter for Android,@fabulyss22: My Sunday's will now be spent with @realDonaldTrump again! So excited #CelebrityApprentice is back!"""
1,@stacekop: @realDonaldTrump Geraldo may be crazy enough to do whatever it takes.
1,@BucherBrandon:  Watching @realDonaldTrump 's show #CelebApprentice to see @BrandiGlanville
1,@KiernanProud: @realDonaldTrump so excited! Best show on television. #CelebApprentice
1,@JohnG500: Love @realDonaldTrump and @ApprenticeNBC! This is gonna be another awesome season. #CelebApprentice
1,"@michaelsdevine: I kinda hope @RealGilbert sticks around for a while just for moments like that #CelebApprentice @ApprenticeNBCTwitter for Android,@ApprenticeNBC: ""Nobody wants to be the first one fired."" Isn't that the truth @realDonaldTrump. #CelebApprentice"" VERY SAD TO BE FIRST."
1,@sprinkler22: @realDonaldTrump i love donald trump!!!! Thanks
1,@straitblazin: @realDonaldTrump has an all star cast of celebrities this season of @ApprenticeNBC! This should be interesting. True.
1,@Gaga_In_Fla: @AndreaTantaros @FoxNews @GeraldoRivera @realDonaldTrump Well not that it matters I think Geraldo is a sanctimonious ass.
1,"@teerexbc: I'm rooting for @MsVivicaFox @ShawnJohnson and @peachespulliam #CelebrityApprentice #thecelebrityapprentice #nbc DonaldTrumpTwitter for Android,@JakeKrippner: â€œ@realDonaldTrump: So who should win who is your favorite?â€ù @ShawnJohnson"""
1,@TNelly813: Yay! @realDonaldTrump I'm so excited for celebrity apprentice :)
1,@KristaCantwell: @realDonaldTrump I'm so happy that @ApprenticeNBC is back! #CelebApprentice
1,@MichaelMPierce: Watching @ApprenticeNBC for the first time ever. Love it so far! @realDonaldTrump
1,@Dbarbs1: @realDonaldTrump please fire Kenya first. Really?
