source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,#CelebApprentice I will be live tweeting(no spoilers) during tonight's all new @ApprenticeNBC at 8PM ET.,01-13-2015 00:09:01,39,104,false,554792193526071297
Twitter for iPhone,Let's go! #CelebApprentice,01-13-2015 01:01:06,93,225,false,554805303028772864
Twitter for iPhone,#CelebApprentice We always make sure to have great NYC locations for the task delivery.,01-13-2015 01:05:34,18,68,false,554806427341299712
Twitter for iPhone,#CelebApprentice what do you think of the choices for project manager?,01-13-2015 01:06:26,15,40,false,554806643150815232
Twitter for iPhone,#CelebApprentice Selfies- yes or no?,01-13-2015 01:29:35,26,95,false,554812468829376513
Twitter for iPhone,#CelebApprentice #TeamVortex or #TeamInfinity?,01-13-2015 01:35:40,13,37,false,554814000585003011
Twitter for iPhone,#CelebApprentice Time for the first firing of the night.,01-13-2015 01:46:02,42,114,false,554816610712956929
Twitter for iPhone,“@HoganSeaisle129: @realDonaldTrump who who who ... Say it just say it #CelebApprentice” Watch and see what happens!,01-13-2015 01:49:30,12,29,false,554817481148469248
Twitter for iPhone,#CelebApprentice stay tuned for the 2nd half we have one more firing tonight!,01-13-2015 01:59:53,21,70,false,554820095776927744
Twitter for iPhone,#CelebApprentice  What do you think of the new teams/PMs?,01-13-2015 02:03:32,18,70,false,554821012307857408
Twitter for iPhone,#CelebApprentice who do you think won?,01-13-2015 02:36:53,21,58,false,554829408448831488
Twitter for iPhone,#CelebApprentice Another exciting episode -tune in next Monday at 8pm for 2 more new episodes!,01-13-2015 03:00:03,43,160,false,554835235876384768
Twitter for iPhone,.@MannyPacquiao and friends at @TrumpDoral http://t.co/iNaq5E1whS,01-25-2015 14:33:57,22,73,false,559358517526937600
Twitter for iPhone,Don't miss the #MissUniverse Pageant tonight at 8/7c with performances by @NickJonas @PrinceRoyce and @GavinDeGraw http://t.co/gphFqf57fS,01-25-2015 21:29:35,194,262,false,559463115235295233
Twitter for iPhone,Let’s together Make America Great Again! Vote Trump at https://t.co/YoNf60s0lm,02-03-2015 00:58:59,4987,3407,false,562414915625832449
Twitter for iPhone,With @greta in Washington D.C. Old Post Office under construction. Tune in tonight at 7PM EST! https://t.co/tzzTn3uDYS,03-24-2015 18:51:39,14,33,false,580441865666850816
Twitter for iPhone,.@RollingStone admitted their scam. Phony @HuffingtonPost and others are no better-- total joke!,04-06-2015 14:35:25,61,96,false,585088423834312705
Twitter for iPhone,Record crowd and standing ovation at Simpson College in Iowa- lots of fun wonderful audience!,04-09-2015 20:17:21,34,111,false,586261637595791363
Twitter for iPhone,Make sure to follow me on @periscopeco. I will be streaming my announcement at 11AM.,06-16-2015 14:31:51,100,261,false,610817065964990464
Twitter for iPhone,Univision apologized to me but I will not accept their apology. I will be suing them for a lot of money. Miss U.S.A. contestants are hurt!,06-28-2015 23:34:33,892,1472,false,615302294847029248
Twitter for iPhone,.@jorgeramosnews Please send me your new number your old one’s not working. Sincerely Donald J. Trump,06-29-2015 01:18:49,237,438,false,615328534215696385
Twitter for iPhone,.@marcorubio what do you say to the family of Kathryn Steinle in CA who was viciously killed b/c we can't secure our border? Stand up for US,07-03-2015 23:26:22,1425,1977,false,617112173186314240
Twitter for iPhone,.@TheJuanWilliams you never speak well of me &amp; yet when I saw you at Fox you ran over like a child and wanted a picture. Please share pic!,07-03-2015 23:29:08,1059,1856,false,617112869302366208
Twitter for iPhone,http://t.co/PtViAyrO4A,07-10-2015 23:18:29,3027,4345,false,619646907468632064
Twitter for iPhone,I will not be able to attend the Miss USA pageant tomorrow night because I am campaigning in Phoenix. Wishing all well!,07-12-2015 00:56:56,674,2261,false,620034067644481536
Twitter for iPhone,Mexico's biggest drug lord escapes from jail. Unbelievable corruption and USA is paying the price.  I told you so!,07-12-2015 21:03:19,7119,7955,false,620337666912059392
Twitter for iPhone,Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!,07-12-2015 21:08:52,547,1150,false,620339062055010304
Twitter for iPhone,Can you envision Jeb Bush or Hillary Clinton negotiating with 'El Chapo' the Mexican drug lord who escaped from prison? ....,07-13-2015 00:25:37,5344,4370,false,620388576765870081
Twitter for iPhone,I had thousands join me in New Hampshire last night! @HillaryClinton had 68. The #SilentMajority is fed up with what is going on in America!,07-17-2015 16:36:57,1894,3796,false,622082571816538112
Twitter for iPhone,Thoughts &amp; prayers with everyone in Lafayette Louisiana this evening.,07-24-2015 02:33:02,3177,5362,false,624406907487428610
Twitter for iPhone,"@DanScavino: Via Economist/YouGov 7•24•2015 #MakeAmericaGreatAgain #Trump2016" http://t.co/GSXf8Tfzvn,07-24-2015 18:41:51,600,954,false,624650721024155648
Twitter for iPhone,"@BillLester651: @DanScavino @realDonaldTrump Latinos for Trump believes in Trump",07-30-2015 02:57:37,240,677,false,626587420843229184
Twitter for iPhone,"@me_lisa_m: @DanScavino @realDonaldTrump Just updated voter registration in FL #VoteTrump",07-30-2015 02:58:23,159,584,false,626587613386940417
Twitter for iPhone,"@linablue: @realDonaldTrump I love the fact you can't be "bought"...",07-30-2015 02:59:07,398,1296,false,626587800574521345
Twitter for iPhone,Thank you.  https://t.co/BbD9deWjbQ,07-30-2015 23:58:59,232,740,false,626904854900928512
Twitter for iPhone,Thank you for your service!  https://t.co/xBJ47fUXC0,07-31-2015 00:00:58,309,991,false,626905352508981250
Twitter for iPhone,Watch my interview with @ericbolling on @FoxNews today at 11:30AM ET,08-01-2015 14:33:09,400,1021,false,627487235991031808
